,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
6535,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6544,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6766,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6805,Próprio-Pago,Sim,Nao,,,,
6934,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6948,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
6951,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
7072,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
7262,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
8278,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
8300,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
8311,Próprio-Pago,Sim,Nao,,,,
8331,Alugado,Sim,Nao,,,,
8337,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
8338,Alugado,Sim,Sim,Sim,Sim,Não,Sim
8341,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
8344,Cedido-Empregador,Sim,Sim,Sim,Sim,Não,Sim
8347,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
8353,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
8355,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
8360,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
8380,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
8393,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
8401,Alugado,Sim,Nao,,,,
8414,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
8485,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
8492,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
8688,Próprio-NPago,Sim,Nao,,Sim,Sim,Não
8769,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
8776,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
8783,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
8815,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
8880,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
8948,Próprio-Pago,Nao,Nao,,,,
9030,Próprio-Pago,Sim,Nao,,,,
9124,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
9138,Alugado,Sim,Sim,Não,Sim,Sim,Não
9490,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9656,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
9759,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
9765,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
9815,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9822,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
9970,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9971,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
9976,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
9977,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9978,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9979,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9980,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
9981,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
9992,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
10018,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
10027,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
10061,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10536,Próprio-Pago,Nao,Nao,,,,
10786,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
10830,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
10886,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10893,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10911,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10916,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10929,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
10938,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10943,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
10965,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10984,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
10986,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
10987,Alugado,Sim,Nao,,,,
10994,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
10998,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
11031,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11033,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11037,Próprio-Pago,Sim,Nao,,,,
11061,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11063,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11064,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11065,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
11066,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11069,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11072,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11092,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
11094,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
11099,Alugado,Sim,Sim,Não,,,
11110,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11112,Próprio-Pago,Sim,Nao,,,,
11257,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
11266,Alugado,Sim,Sim,Sim,Sim,Não,Sim
11277,Alugado,Sim,Sim,Sim,Sim,Não,Sim
11283,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
11285,Próprio-Pago,Sim,Nao,,,,
11303,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11402,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
11699,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
11712,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
11737,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
11754,Alugado,Sim,Sim,Sim,Não,Não,Sim
11756,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
11792,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
11860,Próprio-Pago,Sim,Nao,,,,
12015,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
12167,Próprio-Pago,Sim,Nao,,,,
12288,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
12298,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
12446,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
12471,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
12472,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
12474,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
12475,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
12505,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
12507,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
12661,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
12793,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
13145,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
13146,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
13188,Próprio-Pago,Sim,Nao,,,,
13240,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Sim
13252,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
13266,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
13278,Próprio-Pago,Sim,Sim,Não,,,
13313,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
13429,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
13610,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
13624,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
14412,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
14686,Cedido-Empregador,Sim,Nao,,Sim,Sim,Sim
15149,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
15367,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
15939,Cedido-Outros,Sim,Nao,,,,
16057,Alugado,Sim,Nao,,,,
16066,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
16265,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
16295,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
16707,Próprio-Pago,Sim,Nao,,,,
17426,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
