,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
100876,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
100886,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
100928,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
100993,Alugado,Sim,Nao,,,,
101076,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
101154,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
101161,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
101225,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101235,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
101249,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101268,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101489,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
101519,Próprio-Pago,Sim,Sim,Sim,Não,Não,Não
101544,Próprio-Pago,Sim,Nao,,,,
101562,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101631,Próprio-Pago,Sim,Nao,,,,
101722,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
101782,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
101786,Próprio-Pago,Sim,Sim,Sim,Não,Não,Não
101859,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101862,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
101867,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
101882,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
101887,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101893,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
101950,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
101965,Cedido-Outros,Sim,Sim,Sim,Sim,Não,Sim
101967,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
102070,Outra Condição,Sim,Sim,Sim,Sim,Sim,Sim
102078,Próprio-Pago,Sim,Nao,,,,
102102,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
102105,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102106,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102112,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102113,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102120,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102121,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102129,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
102143,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102264,Próprio-NPago,Sim,Sim,Não,Sim,Sim,Não
102271,Alugado,Sim,Sim,Sim,Sim,Não,Sim
102276,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
102278,Alugado,Sim,Sim,Não,,,
102308,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102463,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
102486,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102496,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102546,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
102590,Cedido-Outros,Sim,Nao,,,,
102682,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102683,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102691,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102693,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102700,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
102702,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102704,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102705,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102713,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102721,Próprio-Pago,Sim,Sim,Não,,,
102734,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102735,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102741,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102746,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102762,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102816,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
102823,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102830,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102837,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102843,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
102844,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102846,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102848,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
102850,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102854,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102901,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102907,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102910,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102911,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102922,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
102935,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102953,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
102978,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
102985,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
102991,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103001,Alugado,Sim,Sim,Sim,Sim,Não,Sim
103004,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103007,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
103043,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103056,Próprio-NPago,Sim,Sim,Sim,Não,Sim,Não
103071,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
103082,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
103085,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
103103,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103109,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103110,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103152,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103161,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103164,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103172,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103176,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103177,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103179,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103183,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103189,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103190,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103224,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103229,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
103236,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
103259,Alugado,Sim,Sim,Sim,Não,Não,Sim
103269,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
103271,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103347,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103355,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103365,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103373,Alugado,Sim,Nao,,Sim,Sim,Sim
103426,Alugado,Sim,Nao,,Sim,Sim,Sim
103465,Alugado,Sim,Sim,Sim,Sim,Sim,Não
103466,Alugado,Sim,Sim,Sim,Sim,Sim,Não
103470,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103471,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103473,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103475,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103489,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103492,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
103493,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103518,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103529,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103537,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103541,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103547,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
103554,Próprio-Pago,Nao,Nao,,,,
103564,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
103646,Alugado,Sim,Sim,Não,,,
103656,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
103672,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
103809,Próprio-Pago,Nao,Sim,Sim,Não,Não,Sim
103870,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103878,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
103923,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103925,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103930,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103931,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
103933,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
103937,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
103972,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104055,Alugado,Sim,Nao,,Sim,Sim,Sim
104086,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104093,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104100,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104196,Próprio-Pago,Sim,Nao,,,,
104198,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104199,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104202,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104203,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104204,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104212,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
104220,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104221,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104228,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104230,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104234,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104245,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104246,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104247,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104249,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104250,Alugado,Sim,Nao,,Sim,Sim,Não
104265,Próprio-Pago,Sim,Nao,,,,
104272,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
104301,Alugado,Sim,Nao,,,,
104326,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
104385,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104399,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104447,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104459,Alugado,Sim,Sim,Sim,Sim,Não,Sim
104470,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104483,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
104485,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
104489,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104492,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
104496,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104506,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104509,Alugado,Sim,Sim,Não,Sim,Sim,Não
104514,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104535,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104536,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104538,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104540,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
104551,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
104557,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104559,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104563,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104572,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104639,Próprio-Pago,Sim,Nao,,,,
104657,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104791,Próprio-Pago,Sim,Sim,Não,,,
104792,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
104803,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
104806,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
104814,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
104914,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104949,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104956,Alugado,Sim,Sim,Sim,Sim,Não,Sim
104974,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
104978,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
104982,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
104995,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105022,Alugado,Sim,Nao,,,,
105263,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
105264,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105274,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
105276,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105278,Próprio-Pago,Nao,Nao,,,,
105285,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105289,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105291,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105292,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105297,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105298,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105310,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
105326,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
105328,Próprio-Pago,Sim,Nao,,,,
105329,Próprio-Pago,Sim,Nao,,,,
105350,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105352,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105383,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
105418,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105445,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
105562,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105633,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Sim
105640,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105648,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105652,Próprio-Pago,Nao,Nao,,,,
105654,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105664,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105670,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105676,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105679,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
105763,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
105767,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
105768,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
105773,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
105774,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
105780,Alugado,Sim,Sim,Sim,Não,Não,Sim
105787,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105788,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105794,Próprio-Pago,Nao,Nao,,,,
105796,Alugado,Sim,Sim,Sim,Não,Não,Sim
105798,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105800,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
105803,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105805,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105816,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105819,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
105821,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105822,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105941,Alugado,Sim,Sim,Sim,Sim,Não,Sim
105957,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
105995,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
106002,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106009,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106010,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106023,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106043,Alugado,Sim,Sim,Sim,Sim,Sim,Não
106047,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
106115,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
106124,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106125,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106130,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106165,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
106365,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
106371,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106374,Alugado,Sim,Sim,Sim,Sim,Não,Sim
106375,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106386,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106396,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106400,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106402,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106415,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106422,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106428,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106431,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
106492,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106526,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
106599,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106604,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106607,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106612,Próprio-Pago,Sim,Nao,,,,
106614,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106617,Alugado,Sim,Sim,Sim,Sim,Não,Sim
106618,Alugado,Sim,Sim,Sim,Sim,Não,Sim
106620,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
106627,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
106655,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106659,Alugado,Sim,Nao,,Sim,Sim,Não
106662,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106663,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106666,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
106667,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
106672,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106686,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
106688,Próprio-Pago,Sim,Nao,,,,
106712,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106724,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106726,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106762,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
106773,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
106781,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106784,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106795,Alugado,Nao,Nao,,,,
106804,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
106953,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
106991,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
106993,Próprio-Pago,Nao,Sim,Sim,Não,Não,Sim
107010,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
107024,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
107027,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107029,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107030,Alugado,Sim,Nao,,,,
107043,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107052,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
107056,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107077,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107080,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107084,Alugado,Sim,Sim,Sim,Não,Sim,Sim
107098,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107100,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107101,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107103,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107117,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107119,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107120,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107121,Alugado,Sim,Sim,Sim,Sim,Não,Sim
107126,Alugado,Sim,Sim,Sim,Sim,Não,Sim
107225,Próprio-Pago,Sim,Nao,,,,
107241,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
107242,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107247,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107248,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
107256,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107260,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107261,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107267,Alugado,Sim,Sim,Sim,Não,Sim,Sim
107275,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107284,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107301,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
107349,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107377,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
107380,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
107416,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
107457,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
107461,Alugado,Sim,Sim,Sim,Sim,Não,Sim
107463,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107464,Próprio-Pago,Sim,Nao,,,,
107466,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
107467,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
107470,Alugado,Sim,Sim,Sim,Sim,Não,Sim
107474,Alugado,Sim,Sim,Sim,Sim,Não,Sim
107483,Próprio-Pago,Sim,Nao,,,,
107491,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107517,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107525,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
107532,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107537,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107539,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107540,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107549,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107550,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107570,Próprio-Pago,Nao,Sim,Não,,,
107572,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
107575,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107577,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107591,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
107594,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107597,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
107612,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107744,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107892,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107916,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
107917,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107932,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
107940,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107942,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
107944,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107962,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107965,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
107974,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
107979,Alugado,Sim,Nao,,Sim,Sim,Não
107981,Alugado,Sim,Sim,Sim,Sim,Sim,Não
107987,Próprio-Pago,Sim,Nao,,,,
107998,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108019,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108023,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108033,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
108037,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108040,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108055,Próprio-Pago,Sim,Nao,,,,
108061,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
108085,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108087,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
108092,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108141,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
108144,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
108167,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108183,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
108188,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108193,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108210,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108254,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
108256,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
108281,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
108299,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
108315,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
108320,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
